"Callsign","Sysop","Band","TX","Type","Where","Region","IF(secrecy='9',left(locator,4),locator)","lat","lon",
GB7RMS,M0SDJ,70CM,432.675000,PX,FOLKESTONE,SE,JO01,51.1,1.2,
GB7ROS,M0LMN,2M,144.937500,PX,HASLINGDEN,NOR,IO83UQ,53.705,-2.312,
GB7RWY,M7SVN,2M,144.950000,PX,WEYMOUTH,SW,IO80SQ,50.671,-2.455,
GB7SFD,G6MAR,2M,144.950000,PX,SEAFORD,SE,JO00BS,50.778,0.084,
GB7SOM,G4ETN,2M,144.950000,PX,CHIPSTABLE,SW,IO81HA,51.034,-3.384,
GB7SOT,2E0PEU,2M,144.937500,PX,STOKE-ON-TRENT,CEN,IO83,53.1,-2.2,
GB7STO,G0NMY,2M,144.950000,PX,STOKE-ON-TRENT,CEN,IO83VA,53.012,-2.181,
GB7SWD,G0SBP,4M,70.325000,PX,DARLINGTON,NOR,IO94EN,54.548,-1.586,
GB7SWD,G0SBP,2M,144.937500,PX,DARLINGTON,NOR,IO94EN,54.548,-1.586,
GB7SWD,G0SBP,40M,7.048600,PX,DARLINGTON,NOR,IO94EN,54.548,-1.586,
GB7TIV,M0ZZT,6M,50.650000,PX,TIVERTON,SW,IO80,50.9,-3.5,
GB7VAX,G0VAX,2M,144.950000,PX,WEST KIRBY,NOR,IO83JJ,53.378,-3.172,
GB7WEM,G3KEY,70CM,432.675000,PX,WEMBLEY,SE,IO91UN,50.903,-0.346,
GB7WEM,G3KEY,2M,144.950000,PX,WEMBLEY,SE,IO91UN,51.558,-0.322,
GB7WEM,G3KEY,40M,7.052750,PX,WEMBLEY,SE,IO91UN,51.558,-0.322,
GB7WFR,2E0TWX,2M,144.937500,PX,NEWCASTLE UPON TYNE,NOR,IO94FX,54.982,-1.557,
GB7WIN,G5RKT,2M,144.925000,PX,WINCHESTER,SW,IO91HB,51.064,-1.359,
GB7WIN,G5RKT,70CM,432.650000,PX,WINCHESTER,SW,IO91HB,51.064,-1.359,
GB7WIN,G5RKT,6M,50.660000,PX,WINCHESTER,SW,IO91HB,51.064,-1.359,
GB7WLG,G8LIY,40M,7.052000,PX,LEIGH,NOR,IO83SM,53.503,-2.492,
GB7WOD,G4KWT,2M,144.937500,PX,WOODLEY,SW,IO91NL,51.459,-0.882,
GB7WOD,G4KWT,70CM,432.625000,PX,WOODLEY,SW,IO91NL,51.459,-0.882,
GB7WOK,G2DD,2M,144.925000,PX,WOKINGHAM,SW,IO91,51.4,-0.8,
GB7WOK,G2DD,70CM,432.625000,PX,WOKINGHAM,SW,IO91,51.4,-0.8,
GB7WOR,G7TWZ,2M,144.950000,PX,WORCESTER PARK,SE,IO91VJ,51.385,-0.243,
GB7WOR,G7TWZ,70CM,432.675000,PX,WORCESTER PARK,SE,IO91VJ,51.385,-0.243,
GB7WOR,G7TWZ,6M,50.660000,PX,WORCESTER PARK,SE,IO91VJ,51.385,-0.243,
GB7WSM,G0SPH,2M,144.937500,PX,WINSFORD,NOR,IO83RE,53.195,-2.522,
GB7WSM,G0SPH,70CM,432.650000,PX,WINSFORD,NOR,IO83RE,53.195,-2.522,
GB7XTF,M0XTF,2M,144.950000,PX,BUNGAY,EA,JO02,52.5,1.5,
GB7YEW,GM3YEW,2M,144.937500,PX,ABERNETHY,SCOT,IO86IH,56.33,-3.322,
GB7ZNH,M0ZNH,2M,144.950000,PX,POLLINGTON,NOR,IO93,53.7,-1.1,
GM1DSV,GM1DSV,70CM,439.912500,AP,KIRRIEMUIR,SCOT,IO86KO,56.621,-3.102,
GM5AUG,GM5AUG,70CM,439.987500,PX,NEWTON MEARNS,SCOT,IO75US,55.778,-4.333,
